experiment,num_agents,forbidden_actions,norm_mode,social_exposure,task_variant,visibility_mode,norm_prompt_variant,num_episodes,mean_entropy,std_entropy,min_entropy,max_entropy,mean_forbidden_rate,mean_transition_entropy,mean_action_persistence,mean_policy_divergence,episode_diversity,parser_failures
single_norm_temp07,1,defect,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_ds,1,none,soft,False,social_game,full,soft_default,100,0.8628730055644951,0.374195142791805,-0.0,1.675075483501529,0.0,1.2745817984346877,0.8906896551724138,0.0,0.098389847850599,0
solo_ds_exposed,1,none,soft,True,social_game,full,soft_default,100,0.2877358434781094,0.3940782268899503,-0.0,1.7033667177473786,0.0,0.422386262527188,0.9586206896551723,0.0,0.05589851222029931,0
solo_gemma3_4b,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_gemma3_4b_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_gemma4_e4b,1,none,soft,False,social_game,full,soft_default,100,0.011700333844140454,0.11641685184873157,-0.0,1.1700333844140454,0.0,0.013537427557213082,0.9993103448275862,0.0,0.0049932709128820115,1
solo_gemma4_e4b_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_llama3_ollama,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_llama3_ollama_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_mistral,1,none,soft,False,social_game,full,soft_default,100,0.0674950291576668,0.113768501172869,-0.0,0.420026001688088,0.0,0.11281150155622294,0.9820689655172414,0.0,0.007157289008894472,0
solo_mistral_exposed,1,none,soft,True,social_game,full,soft_default,100,0.16636181018170418,0.1417037327309474,-0.0,0.5665095065529053,0.0,0.17686679027387225,0.9748275862068965,0.0,0.008181345259992185,0
solo_phi3,1,none,soft,False,social_game,full,soft_default,100,0.09603272664608832,0.32627386931328,-0.0,1.5240979830688353,0.0,0.1385316578395905,0.9586206896551723,0.0,0.0923926885782761,0
solo_phi3_exposed,1,none,soft,True,social_game,full,soft_default,100,0.045899246150307,0.18175527310031775,-0.0,0.9709505944546686,0.0,0.06582310054224805,0.9937931034482759,0.0,0.04270369765211931,0
solo_phi4_ollama,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_phi4_ollama_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
